id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
6,1,1,1,http://papercut.gslc.edu.hk,papercut.gslc.edu.hk,1,papercut.gslc.edu.hk,221.126.234.195,1,0,80,403,Forbidden,403 Forbidden,Apache/2.4.41 (Win64) OpenSSL/1.1.1c PHP/7.3.12,221.126.224.0/19,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Brute
7,1,1,1,https://papercut.gslc.edu.hk,papercut.gslc.edu.hk,1,papercut.gslc.edu.hk,221.126.234.195,1,1,443,200,OK,GSLCZoom Login,"Apache/2.4.41 (Win64) OpenSSL/1.1.1c PHP/7.3.12,PHP/7.3.12",221.126.224.0/19,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Brute
3,0,0,1,https://sites.gslc.edu.hk,sites.gslc.edu.hk,1,ghs.googlehosted.com,142.251.46.179,1,0,443,,"(ProtocolError('Connection aborted.', FileNotFoundError(2, 'No such file or directory')),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
18,0,0,1,http://sites.gslc.edu.hk,sites.gslc.edu.hk,1,ghs.googlehosted.com,142.251.46.179,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='sites.google.com', port=80): Max retries exceeded with url: /a/gslc.edu.hk/sites/system/app/pages/meta/dashboard (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000018EF172BE88>, 'Connection to sites.google.com timed out. (connect timeout=13)'))""),)",,,142.251.0.0/16,AS15169,Google,美国加利福尼亚山景,谷歌,Brute
15,0,0,1,http://websams.gslc.edu.hk,websams.gslc.edu.hk,1,websams.gslc.edu.hk,221.126.234.194,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='websams.gslc.edu.hk', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000018EF1F5CC08>, 'Connection to websams.gslc.edu.hk timed out. (connect timeout=13)'))""),)",,,221.126.224.0/19,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Brute
16,0,0,1,https://websams.gslc.edu.hk,websams.gslc.edu.hk,1,websams.gslc.edu.hk,221.126.234.194,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='websams.gslc.edu.hk', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000018EF1F37588>, 'Connection to websams.gslc.edu.hk timed out. (connect timeout=13)'))""),)",,,221.126.224.0/19,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Brute
11,1,1,1,https://www.gslc.edu.hk,www.gslc.edu.hk,1,td-balancer-199-15-163-138.wixdns.net,199.15.163.138,1,1,443,200,OK,主頁 | 路德會西門英才中學,,199.15.160.0/22,AS14838,Deviantart Inc.,美国南加利福尼亚洛杉矶,未知,Brute
22,0,0,1,http://www.gslc.edu.hk,www.gslc.edu.hk,1,td-balancer-199-15-163-138.wixdns.net,199.15.163.138,1,0,80,,"(ReadTimeoutError(""HTTPSConnectionPool(host='www.gslc.edu.hk', port=443): Read timed out. (read timeout=13)""),)",,,199.15.160.0/22,AS14838,Deviantart Inc.,美国南加利福尼亚洛杉矶,未知,Brute
4,1,1,1,https://zoom.gslc.edu.hk,zoom.gslc.edu.hk,1,zoom.gslc.edu.hk,221.126.234.195,1,1,443,200,OK,GSLCZoom Login,"Apache/2.4.41 (Win64) OpenSSL/1.1.1c PHP/7.3.12,PHP/7.3.12",221.126.224.0/19,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Brute
10,1,1,1,http://zoom.gslc.edu.hk,zoom.gslc.edu.hk,1,zoom.gslc.edu.hk,221.126.234.195,1,1,80,200,OK,GSLCZoom Login,"Apache/2.4.41 (Win64) OpenSSL/1.1.1c PHP/7.3.12,PHP/7.3.12",221.126.224.0/19,AS9304,HGC Global Communications Limited,中国香港,和记电讯,Brute
